maintenance_id,equipment_id,maintenance_date,maintenance_type,issue_category,severity,downtime_hours,maintenance_cost_inr,engine_hours_at_maintenance
M_000073,EQ_00022,2025-11-02,Corrective,Electrical,High,24.3,29882.59,17239
M_000074,EQ_00023,2025-09-12,Preventive,Electrical,Low,1.2,3396.06,4132
M_000075,EQ_00024,2026-01-01,Preventive,Engine,Medium,9.3,32686.69,11317
M_000076,EQ_00024,2025-11-20,Preventive,Electrical,Low,3.1,10761.01,11406
M_000077,EQ_00024,2025-01-06,Corrective,Electrical,Medium,7.1,28076.46,11064
M_000078,EQ_00024,2025-11-08,Corrective,Scheduled Service,High,5.1,7155.29,12144
M_000079,EQ_00025,2024-02-12,Preventive,Engine,Medium,7.1,17246.48,5206
M_000080,EQ_00026,2025-05-05,Preventive,Scheduled Service,Medium,8.1,17616.54,11527
M_000081,EQ_00026,2026-07-27,Corrective,Hydraulic,Medium,12.3,46590.76,12322
M_000082,EQ_00026,2024-07-05,Preventive,Tires/Tracks,Low,11.6,29414.5,11703
M_000083,EQ_00027,2024-04-29,Preventive,Tires/Tracks,Low,5.6,9571.33,5058
M_000084,EQ_00027,2025-10-28,Corrective,Engine,Medium,5.4,22770.19,6535
M_000085,EQ_00028,2024-02-17,Preventive,Hydraulic,Medium,16.1,38041.56,21577
M_000086,EQ_00029,2026-03-03,Preventive,Electrical,Medium,40.6,157494.89,2551
M_000087,EQ_00029,2025-09-30,Preventive,Hydraulic,High,13.0,27002.02,1947
M_000088,EQ_00029,2024-08-27,Preventive,Hydraulic,Low,11.2,39778.47,2154
M_000089,EQ_00030,2024-04-15,Preventive,Tires/Tracks,Low,4.6,16094.85,22015
M_000090,EQ_00031,2024-10-22,Preventive,Electrical,Medium,2.1,5186.49,17091
M_000091,EQ_00031,2025-04-22,Corrective,Electrical,Low,7.6,16869.15,18289
M_000092,EQ_00031,2025-03-31,Corrective,Tires/Tracks,Low,6.3,20035.01,16854
M_000093,EQ_00031,2025-06-26,Preventive,Scheduled Service,Low,16.8,42947.41,16646
M_000094,EQ_00032,2025-06-27,Preventive,Tires/Tracks,Low,4.3,18235.36,18995
M_000095,EQ_00032,2026-06-11,Preventive,Scheduled Service,Medium,1.8,7114.82,17935
M_000096,EQ_00033,2025-03-29,Preventive,Scheduled Service,Medium,2.1,5525.45,18308
M_000097,EQ_00033,2026-01-13,Preventive,Electrical,Medium,5.5,21356.55,17885
M_000098,EQ_00033,2026-04-20,Preventive,Scheduled Service,Low,0.8,2017.55,19036
M_000099,EQ_00034,2026-07-21,Corrective,Scheduled Service,Medium,4.1,12559.02,4930
M_000100,EQ_00034,2024-09-28,Corrective,Engine,Low,4.0,12333.38,4857
M_000101,EQ_00035,2024-09-15,Preventive,Scheduled Service,Low,11.6,15155.8,21077
M_000102,EQ_00035,2024-09-18,Preventive,Engine,Low,16.0,23805.38,20184
M_000103,EQ_00035,2025-02-28,Preventive,Scheduled Service,Low,9.5,38907.09,20004
M_000104,EQ_00036,2025-03-07,Corrective,Electrical,Medium,9.8,38082.86,12560
M_000105,EQ_00036,2026-05-21,Preventive,Tires/Tracks,Medium,10.7,46632.18,12726
M_000106,EQ_00037,2024-07-17,Corrective,Scheduled Service,Medium,32.4,136767.77,20684
M_000107,EQ_00037,2024-02-05,Preventive,Scheduled Service,Low,22.3,58390.15,21896
M_000108,EQ_00037,2024-04-17,Corrective,Electrical,Low,14.2,54106.77,20261
M_000109,EQ_00037,2026-04-13,Preventive,Engine,Medium,16.5,60078.59,21370
M_000110,EQ_00037,2025-04-15,Corrective,Tires/Tracks,Low,3.5,4535.28,20990
M_000111,EQ_00038,2025-03-31,Preventive,Electrical,Low,28.2,94944.98,18769
M_000112,EQ_00038,2024-05-04,Preventive,Tires/Tracks,Medium,6.5,23915.81,20116
M_000113,EQ_00038,2024-05-24,Preventive,Tires/Tracks,Low,8.9,20900.69,20318
M_000114,EQ_00038,2026-08-27,Preventive,Engine,Low,5.0,11262.07,20141
M_000115,EQ_00039,2025-02-22,Corrective,Scheduled Service,High,20.9,41696.19,12196
M_000116,EQ_00040,2025-02-01,Preventive,Hydraulic,Low,3.7,9556.36,8543
M_000117,EQ_00040,2026-07-30,Preventive,Hydraulic,Low,17.4,36417.21,9077
M_000118,EQ_00040,2024-05-23,Preventive,Tires/Tracks,Low,21.9,80233.42,8606
M_000119,EQ_00040,2024-09-14,Preventive,Hydraulic,Medium,27.0,101508.16,8481
M_000120,EQ_00041,2026-08-01,Preventive,Engine,Medium,4.2,5336.23,2104
M_000121,EQ_00041,2025-02-04,Preventive,Tires/Tracks,Low,5.9,20540.9,2788
M_000122,EQ_00042,2025-11-12,Corrective,Scheduled Service,Medium,6.4,27753.79,1832
M_000123,EQ_00042,2025-03-03,Preventive,Engine,Low,11.1,42126.7,2740
M_000124,EQ_00042,2025-04-08,Corrective,Hydraulic,Medium,9.4,15321.25,2752
M_000125,EQ_00043,2025-01-22,Preventive,Engine,High,40.9,147895.2,8852
M_000126,EQ_00043,2026-05-20,Preventive,Tires/Tracks,Medium,4.5,14436.77,8792
M_000127,EQ_00044,2024-04-23,Corrective,Electrical,Low,6.5,27012.31,18411
M_000128,EQ_00044,2025-01-31,Corrective,Hydraulic,High,26.0,38307.79,18683
M_000129,EQ_00045,2024-10-09,Corrective,Engine,Medium,10.0,18847.69,10984
M_000130,EQ_00046,2024-12-09,Preventive,Scheduled Service,Low,8.1,36394.39,10801
M_000131,EQ_00046,2024-05-14,Preventive,Hydraulic,Low,4.3,18115.6,11353
M_000132,EQ_00047,2025-05-20,Corrective,Hydraulic,Low,10.0,39700.31,5683
M_000133,EQ_00047,2024-06-15,Corrective,Scheduled Service,Low,8.1,25242.56,6126
M_000134,EQ_00047,2024-09-22,Preventive,Engine,Medium,2.2,2777.42,6434
M_000135,EQ_00047,2025-04-23,Preventive,Hydraulic,Medium,8.0,17558.34,5523
M_000136,EQ_00048,2025-11-12,Corrective,Hydraulic,Medium,3.0,9484.89,11778
M_000137,EQ_00049,2024-04-04,Preventive,Scheduled Service,Medium,11.4,23727.7,13444
M_000138,EQ_00049,2024-07-28,Corrective,Hydraulic,Low,6.6,17372.44,13303
M_000139,EQ_00049,2024-11-23,Preventive,Engine,Low,6.2,20860.96,13755
M_000140,EQ_00050,2025-01-10,Corrective,Electrical,Low,16.6,62655.6,21370
M_000141,EQ_00050,2024-02-13,Corrective,Hydraulic,Medium,34.3,143055.22,21422
M_000142,EQ_00050,2024-05-16,Preventive,Tires/Tracks,Medium,19.2,41328.82,21581
M_000143,EQ_00051,2024-11-23,Preventive,Tires/Tracks,Medium,13.6,28106.27,15993
M_000144,EQ_00051,2025-09-02,Corrective,Engine,Low,17.1,56835.43,15311
M_000145,EQ_00052,2026-04-01,Preventive,Engine,Medium,20.4,80289.41,13840
M_000146,EQ_00052,2024-01-26,Corrective,Tires/Tracks,High,7.2,14681.6,13016
M_000147,EQ_00052,2025-08-14,Corrective,Hydraulic,Low,28.4,117613.99,12615
M_000148,EQ_00052,2025-02-23,Preventive,Electrical,Medium,4.2,17634.74,13399
M_000149,EQ_00053,2026-04-01,Preventive,Tires/Tracks,Medium,2.1,8282.78,19587
M_000150,EQ_00053,2026-01-14,Preventive,Scheduled Service,Low,3.4,8719.27,20270
M_000151,EQ_00054,2026-07-08,Corrective,Tires/Tracks,Low,7.0,31248.06,8735
M_000152,EQ_00054,2024-08-15,Corrective,Tires/Tracks,Medium,9.5,16803.96,9204
M_000153,EQ_00054,2025-07-31,Corrective,Tires/Tracks,Low,10.9,47770.3,9335
M_000154,EQ_00054,2025-05-26,Preventive,Hydraulic,Low,13.7,56704.49,9790
M_000155,EQ_00055,2026-05-31,Corrective,Hydraulic,High,3.7,4805.81,20711
M_000156,EQ_00055,2025-12-29,Corrective,Hydraulic,Medium,14.7,49403.56,19613
M_000157,EQ_00056,2025-10-26,Corrective,Engine,Low,14.2,36011.09,8236
M_000158,EQ_00056,2026-02-02,Preventive,Electrical,Low,9.1,26334.31,7749
M_000159,EQ_00056,2025-02-08,Corrective,Tires/Tracks,Medium,28.5,67450.31,7520
M_000160,EQ_00057,2025-04-03,Preventive,Electrical,Low,2.5,8609.0,2363
M_000161,EQ_00057,2024-03-12,Preventive,Electrical,Medium,8.9,31458.52,3872
M_000162,EQ_00058,2025-11-05,Preventive,Electrical,High,1.8,4335.17,10470
M_000163,EQ_00058,2025-10-28,Preventive,Electrical,Low,1.8,5042.28,8605
M_000164,EQ_00058,2026-06-04,Preventive,Electrical,Low,11.4,24223.05,9113
M_000165,EQ_00058,2026-04-24,Corrective,Tires/Tracks,Medium,5.3,20822.24,9237
M_000166,EQ_00059,2024-01-28,Preventive,Engine,Medium,7.7,22361.51,3476
M_000167,EQ_00059,2024-06-22,Corrective,Tires/Tracks,Medium,9.7,16723.86,3307
M_000168,EQ_00059,2024-02-09,Preventive,Electrical,Low,7.9,11020.83,3687
M_000169,EQ_00060,2024-04-25,Corrective,Engine,High,10.9,28204.3,3642
M_000170,EQ_00060,2024-11-21,Preventive,Tires/Tracks,Low,9.1,22702.2,3252
M_000171,EQ_00060,2024-12-26,Preventive,Hydraulic,High,34.4,66881.01,3085
M_000172,EQ_00060,2025-03-01,Preventive,Scheduled Service,Medium,24.9,86800.68,3992
M_000173,EQ_00060,2025-12-11,Preventive,Electrical,Low,4.6,16616.81,2311
M_000174,EQ_00061,2024-10-01,Preventive,Tires/Tracks,Low,3.6,10849.48,19106
M_000175,EQ_00061,2024-02-03,Preventive,Hydraulic,Low,3.8,13473.18,20093
M_000176,EQ_00062,2024-07-20,Preventive,Hydraulic,Medium,7.6,24391.9,17867
M_000177,EQ_00062,2025-08-23,Corrective,Electrical,Medium,10.1,24591.49,18157
M_000178,EQ_00063,2024-06-17,Preventive,Tires/Tracks,High,15.9,49962.49,5907
M_000179,EQ_00063,2024-09-04,Preventive,Electrical,Low,16.2,24840.86,6090
M_000180,EQ_00063,2026-03-31,Corrective,Electrical,High,38.5,81118.72,4339
M_000181,EQ_00063,2025-10-12,Corrective,Hydraulic,Medium,17.1,29226.42,5667
M_000182,EQ_00064,2025-09-21,Preventive,Tires/Tracks,Medium,2.5,9008.83,18426
M_000183,EQ_00064,2024-02-04,Corrective,Scheduled Service,Medium,12.8,55162.27,17829
M_000184,EQ_00065,2024-10-18,Preventive,Hydraulic,Medium,4.1,13777.79,2872
M_000185,EQ_00065,2024-05-11,Preventive,Tires/Tracks,Medium,3.1,13874.6,1855
M_000186,EQ_00065,2025-06-28,Corrective,Tires/Tracks,Low,3.1,7219.75,2250
M_000187,EQ_00065,2024-04-26,Preventive,Engine,Medium,3.9,6645.75,2122
M_000188,EQ_00065,2026-02-03,Corrective,Hydraulic,Low,6.2,25961.54,2583
M_000189,EQ_00066,2025-09-05,Preventive,Hydraulic,Medium,20.6,62852.21,6329
M_000190,EQ_00066,2025-10-02,Corrective,Scheduled Service,Medium,13.3,29467.03,6675
M_000191,EQ_00066,2024-06-16,Preventive,Scheduled Service,Medium,10.3,12946.38,7320
M_000192,EQ_00066,2025-11-15,Corrective,Engine,Medium,17.2,63525.25,7174
M_000193,EQ_00067,2024-01-11,Corrective,Electrical,Low,16.5,45391.09,15749
M_000194,EQ_00067,2024-12-05,Preventive,Engine,Medium,8.2,34888.44,15909
M_000195,EQ_00067,2025-12-29,Preventive,Scheduled Service,Medium,4.9,9152.37,16214
M_000196,EQ_00067,2024-04-10,Preventive,Engine,Medium,11.4,46575.36,15370
M_000197,EQ_00068,2026-07-02,Preventive,Hydraulic,Low,12.8,36169.77,6366
M_000198,EQ_00068,2025-02-07,Preventive,Engine,High,4.8,7606.78,7278
M_000199,EQ_00068,2025-07-09,Corrective,Tires/Tracks,Low,11.4,24872.79,7258
M_000200,EQ_00068,2025-03-19,Corrective,Engine,Medium,2.6,11406.67,6859
M_000201,EQ_00069,2026-02-06,Preventive,Electrical,Low,10.0,36224.2,17104
M_000202,EQ_00069,2026-03-10,Preventive,Hydraulic,High,21.9,73624.31,15615
M_000203,EQ_00070,2025-07-13,Preventive,Electrical,Medium,6.6,12899.69,18750
M_000204,EQ_00070,2024-07-21,Preventive,Engine,Low,0.8,3376.81,18346
M_000205,EQ_00071,2025-08-26,Preventive,Scheduled Service,Low,2.6,8065.59,1313
M_000206,EQ_00071,2024-06-26,Preventive,Tires/Tracks,Low,15.3,57404.08,1822
M_000207,EQ_00071,2025-08-29,Preventive,Electrical,High,26.7,69782.81,2372
M_000208,EQ_00072,2025-04-21,Corrective,Scheduled Service,Medium,15.1,19985.39,1503
M_000209,EQ_00072,2025-01-06,Corrective,Scheduled Service,Medium,9.4,14216.06,1677
M_000210,EQ_00072,2024-12-04,Preventive,Hydraulic,Medium,5.4,21681.24,390
M_000211,EQ_00073,2026-04-14,Preventive,Tires/Tracks,Medium,4.1,17391.51,21340
M_000212,EQ_00073,2026-02-25,Preventive,Tires/Tracks,Low,9.5,30651.21,20931
M_000213,EQ_00074,2025-09-02,Preventive,Engine,High,7.0,13644.07,12306
M_000214,EQ_00074,2026-05-05,Preventive,Scheduled Service,Medium,5.3,15043.83,11551
M_000215,EQ_00075,2025-08-09,Preventive,Electrical,High,17.9,33226.87,12264
M_000216,EQ_00075,2025-07-13,Preventive,Hydraulic,Medium,7.2,13807.09,11856
M_000217,EQ_00076,2025-02-26,Preventive,Engine,Medium,2.9,10423.87,10653
M_000218,EQ_00076,2024-04-23,Corrective,Electrical,High,4.7,11347.57,10257
M_000219,EQ_00076,2024-01-05,Corrective,Scheduled Service,Medium,10.4,30391.79,10374
M_000220,EQ_00076,2024-08-26,Preventive,Engine,Medium,5.2,14670.58,10718
M_000221,EQ_00077,2024-02-26,Preventive,Engine,Medium,15.9,42768.83,10536
M_000222,EQ_00077,2025-06-06,Corrective,Hydraulic,Low,2.2,8630.19,9127
M_000223,EQ_00077,2025-01-03,Corrective,Tires/Tracks,Medium,8.4,23582.1,9122
M_000224,EQ_00078,2026-03-03,Preventive,Electrical,Medium,26.3,61104.24,15486
M_000225,EQ_00078,2026-07-15,Preventive,Scheduled Service,Low,6.0,21591.48,15952
M_000226,EQ_00078,2024-01-17,Preventive,Scheduled Service,High,14.8,20528.77,14820
M_000227,EQ_00078,2024-12-16,Preventive,Engine,Low,8.8,30296.26,14553
M_000228,EQ_00079,2026-03-16,Corrective,Electrical,Low,6.8,8747.58,12820
M_000229,EQ_00079,2024-12-24,Preventive,Electrical,Medium,4.2,11927.47,12668
M_000230,EQ_00080,2025-10-22,Corrective,Engine,Low,3.5,4948.06,4325
M_000231,EQ_00080,2024-04-22,Preventive,Electrical,Low,15.5,56087.06,3536
M_000232,EQ_00080,2026-03-25,Preventive,Hydraulic,Low,7.6,9440.38,4343
M_000233,EQ_00080,2025-03-15,Preventive,Electrical,Low,19.9,70402.02,4880
M_000234,EQ_00081,2026-01-24,Preventive,Scheduled Service,Low,27.9,39185.17,14533
M_000235,EQ_00081,2024-08-31,Preventive,Hydraulic,Low,2.6,4280.87,13472
M_000236,EQ_00082,2025-11-12,Preventive,Electrical,High,5.2,19781.07,15702
M_000237,EQ_00082,2025-11-06,Corrective,Electrical,Low,10.9,39864.54,14785
M_000238,EQ_00082,2024-02-05,Corrective,Scheduled Service,Medium,18.2,80793.56,15732
M_000239,EQ_00082,2024-07-24,Corrective,Scheduled Service,Low,25.9,69349.9,14975
M_000240,EQ_00083,2025-06-01,Corrective,Scheduled Service,Medium,8.3,29358.8,2211
M_000241,EQ_00084,2024-01-29,Corrective,Hydraulic,Low,9.5,13366.42,7905
M_000242,EQ_00084,2025-05-04,Preventive,Hydraulic,Medium,2.9,7438.35,8274
M_000243,EQ_00084,2025-06-17,Corrective,Electrical,Medium,6.2,15576.72,8654
M_000244,EQ_00085,2024-04-02,Preventive,Tires/Tracks,Low,6.4,12688.08,17153
M_000245,EQ_00085,2025-03-13,Preventive,Hydraulic,Low,18.3,22512.54,17337
M_000246,EQ_00086,2025-10-01,Preventive,Tires/Tracks,Low,8.6,33631.75,13640
M_000247,EQ_00086,2024-11-20,Preventive,Tires/Tracks,Low,12.2,50040.54,13974
M_000248,EQ_00086,2025-07-23,Corrective,Engine,Medium,1.3,5351.89,13967
M_000249,EQ_00087,2024-10-10,Preventive,Tires/Tracks,Low,5.3,6765.58,3122
M_000250,EQ_00087,2024-01-09,Preventive,Scheduled Service,Low,10.2,26766.14,2529
M_000251,EQ_00087,2026-01-01,Preventive,Hydraulic,Medium,10.5,28115.44,3099
M_000252,EQ_00087,2024-12-07,Preventive,Hydraulic,Low,5.6,10661.7,3488
M_000253,EQ_00087,2025-07-01,Corrective,Tires/Tracks,Low,7.2,28158.43,3617
M_000254,EQ_00088,2025-04-08,Preventive,Scheduled Service,High,38.7,61865.14,566
M_000255,EQ_00088,2026-01-04,Preventive,Hydraulic,Medium,5.5,20344.86,1011
M_000256,EQ_00088,2025-08-28,Preventive,Electrical,Low,5.6,23213.06,497
M_000257,EQ_00088,2026-03-22,Corrective,Tires/Tracks,Low,3.9,9949.64,528
M_000258,EQ_00089,2024-03-12,Preventive,Engine,Medium,1.1,2260.62,13653
M_000259,EQ_00089,2025-02-12,Preventive,Electrical,Medium,14.6,50861.03,12603
M_000260,EQ_00089,2025-08-24,Preventive,Tires/Tracks,High,13.6,55179.05,13401
M_000261,EQ_00090,2024-08-23,Preventive,Tires/Tracks,Medium,3.8,9336.15,9982
M_000262,EQ_00091,2026-02-05,Corrective,Engine,Medium,6.7,18035.3,21937
M_000263,EQ_00091,2025-05-05,Preventive,Electrical,Medium,9.3,33874.95,20797
M_000264,EQ_00091,2024-02-08,Preventive,Tires/Tracks,Low,9.2,35895.0,20682
M_000265,EQ_00091,2024-02-08,Preventive,Engine,Medium,8.9,15954.97,20600
M_000266,EQ_00092,2024-02-03,Preventive,Tires/Tracks,Medium,3.3,10320.27,12010
M_000267,EQ_00092,2024-02-07,Preventive,Scheduled Service,High,13.9,38957.78,11970
M_000268,EQ_00093,2024-08-12,Preventive,Engine,Low,2.8,7891.87,20246
M_000269,EQ_00094,2024-07-15,Preventive,Hydraulic,Low,1.8,3251.54,4381
M_000270,EQ_00094,2025-12-28,Preventive,Hydraulic,Medium,21.0,83589.11,5023
M_000271,EQ_00095,2026-05-26,Preventive,Electrical,Low,12.1,40189.84,9613
M_000272,EQ_00095,2024-11-04,Preventive,Engine,Medium,7.6,19573.24,9334
M_000273,EQ_00096,2026-04-26,Preventive,Scheduled Service,Medium,6.6,13660.77,3695
M_000274,EQ_00096,2025-07-30,Preventive,Engine,Low,1.9,8097.38,3340
M_000275,EQ_00096,2025-11-18,Corrective,Tires/Tracks,Low,17.6,37416.28,2925
M_000276,EQ_00096,2025-02-18,Corrective,Engine,High,2.5,10829.77,3520
M_000277,EQ_00096,2024-12-25,Preventive,Engine,Low,2.3,4560.21,2686
M_000278,EQ_00097,2026-07-01,Preventive,Engine,Medium,7.4,14423.38,12075
M_000279,EQ_00097,2025-10-24,Preventive,Engine,Medium,10.1,42444.21,12058
M_000280,EQ_00097,2026-08-06,Preventive,Scheduled Service,Medium,16.8,63563.98,12120
M_000281,EQ_00098,2026-05-01,Preventive,Scheduled Service,Medium,9.8,41108.25,4467
M_000282,EQ_00098,2024-10-04,Preventive,Scheduled Service,High,15.3,42018.84,5149
M_000283,EQ_00098,2025-12-30,Preventive,Hydraulic,High,5.8,13524.91,4980
M_000284,EQ_00098,2024-03-22,Corrective,Engine,Medium,10.1,41731.4,4122
M_000285,EQ_00099,2025-08-12,Preventive,Engine,Low,4.9,15373.97,11253
M_000286,EQ_00099,2026-01-25,Preventive,Hydraulic,Low,4.0,14979.5,12077
M_000287,EQ_00099,2024-05-27,Preventive,Engine,Low,5.8,9051.51,11226
M_000288,EQ_00100,2024-01-06,Corrective,Hydraulic,Medium,8.1,12212.18,7102
M_000289,EQ_00100,2026-04-30,Corrective,Hydraulic,Medium,11.2,17252.54,8045
M_000290,EQ_00100,2025-08-16,Preventive,Tires/Tracks,Medium,25.1,59236.2,8410
M_000291,EQ_00100,2026-05-23,Preventive,Scheduled Service,High,2.4,4758.28,7851
M_000292,EQ_00101,2024-06-14,Preventive,Engine,Medium,14.1,49773.14,3934
M_000293,EQ_00101,2026-04-04,Corrective,Scheduled Service,Medium,24.5,105715.94,3981
M_000294,EQ_00101,2024-01-15,Preventive,Hydraulic,Medium,0.6,919.65,5382
M_000295,EQ_00101,2025-06-11,Preventive,Tires/Tracks,Medium,5.7,12056.11,5428
M_000296,EQ_00102,2026-03-01,Corrective,Hydraulic,Low,6.7,15368.33,2395
M_000297,EQ_00102,2024-02-09,Preventive,Scheduled Service,Low,3.6,9270.98,3344
M_000298,EQ_00102,2025-07-27,Preventive,Hydraulic,Low,4.6,11391.33,1857
M_000299,EQ_00102,2024-01-13,Preventive,Engine,Low,4.1,15493.07,3050
M_000300,EQ_00102,2026-01-04,Preventive,Tires/Tracks,Medium,11.1,37968.27,3256
M_000301,EQ_00103,2026-06-21,Corrective,Scheduled Service,Low,13.1,29023.08,11378
M_000302,EQ_00104,2025-12-03,Preventive,Scheduled Service,Medium,3.4,5600.18,20974
