equipment_id,equipment_type,manufacturer,equipment_model,purchase_year,equipment_age_years,fuel_type,home_site_id,total_engine_hours,daily_rental_cost_inr,current_status
EQ_00041,Excavator,JCB,Komatsu PC210,2019,7,Diesel,SITE_024,3021,18000,Rented
EQ_00042,Forklift,Tata,KION EFG,2018,8,Electric,SITE_008,2673,7000,Rented
EQ_00043,Bulldozer,Liebherr,CAT D6,2017,9,Diesel,SITE_024,8878,16000,Rented
EQ_00044,Excavator,Volvo,CAT 320,2024,2,Diesel,SITE_007,17935,18000,Rented
EQ_00045,Dump Truck,Liebherr,Volvo A40,2022,4,Diesel,SITE_013,11364,22000,Idle
EQ_00046,Crane,Volvo,Liebherr LTM 1050,2017,9,Diesel,SITE_001,10857,30000,Rented
EQ_00047,Generator,JCB,CAT XQ500,2022,4,Diesel,SITE_011,5755,9000,Idle
EQ_00048,Generator,Komatsu,Cummins C500,2020,6,Diesel,SITE_029,12634,9000,Rented
EQ_00049,Crane,Komatsu,Zoomlion QY25,2016,10,Diesel,SITE_014,14218,30000,Rented
EQ_00050,Forklift,Liebherr,JCB Telehandler,2020,6,Diesel,SITE_022,21616,7000,Rented
EQ_00051,Bulldozer,Volvo,Liebherr PR 726,2017,9,Diesel,SITE_004,16182,16000,Rented
EQ_00052,Loader,Caterpillar,CAT 950,2018,8,Diesel,SITE_020,13555,14000,Rented
EQ_00053,Bulldozer,Caterpillar,CAT D6,2024,2,Diesel,SITE_012,20066,16000,Rented
EQ_00054,Forklift,Caterpillar,Toyota 8FD,2023,3,Diesel,SITE_023,9637,7000,Available
EQ_00055,Excavator,Komatsu,JCB JS220,2017,9,Diesel,SITE_028,20601,18000,Rented
EQ_00056,Excavator,Tata,Komatsu PC210,2024,2,Diesel,SITE_016,8454,18000,Rented
EQ_00057,Loader,Komatsu,Komatsu WA380,2021,5,Diesel,SITE_004,3247,14000,Rented
EQ_00058,Forklift,Tata,JCB Telehandler,2024,2,Diesel,SITE_015,9478,7000,Maintenance
EQ_00059,Forklift,Volvo,JCB Telehandler,2023,3,Electric,SITE_004,3268,7000,Rented
EQ_00060,Generator,Liebherr,Kirloskar KG500,2019,7,Diesel,SITE_014,3045,9000,Idle
EQ_00061,Forklift,Caterpillar,JCB Telehandler,2021,5,Diesel,SITE_002,19445,7000,Maintenance
EQ_00062,Forklift,Volvo,KION EFG,2021,5,Diesel,SITE_020,17587,7000,Idle
EQ_00063,Loader,Volvo,CAT 950,2023,3,Diesel,SITE_010,5256,14000,Idle
EQ_00064,Crane,Liebherr,Liebherr LTM 1050,2018,8,Diesel,SITE_007,18510,30000,Available
EQ_00065,Generator,Volvo,CAT XQ500,2019,7,Diesel,SITE_001,1981,9000,Rented
EQ_00066,Dump Truck,Liebherr,CAT 777,2018,8,Diesel,SITE_027,6614,22000,Available
EQ_00067,Crane,JCB,Tadano GR-1000,2018,8,Diesel,SITE_026,15681,30000,Maintenance
EQ_00068,Excavator,Liebherr,CAT 320,2017,9,Diesel,SITE_025,7031,18000,Rented
EQ_00069,Generator,Caterpillar,CAT XQ500,2016,10,Diesel,SITE_002,16205,9000,Rented
EQ_00070,Bulldozer,Tata,CAT D6,2025,1,Diesel,SITE_011,19298,16000,Idle
EQ_00071,Forklift,Tata,JCB Telehandler,2016,10,Diesel,SITE_030,1920,7000,Available
EQ_00072,Bulldozer,Caterpillar,Liebherr PR 726,2024,2,Diesel,SITE_018,1015,16000,Rented
EQ_00073,Excavator,Tata,CAT 320,2016,10,Diesel,SITE_004,20710,18000,Rented
EQ_00074,Generator,Liebherr,CAT XQ500,2023,3,Diesel,SITE_005,11689,9000,Available
EQ_00075,Excavator,JCB,CAT 320,2019,7,Diesel,SITE_008,11389,18000,Rented
EQ_00076,Excavator,Tata,CAT 320,2021,5,Diesel,SITE_030,10469,18000,Maintenance
EQ_00077,Dump Truck,JCB,Volvo A40,2018,8,Diesel,SITE_006,9822,22000,Available
EQ_00078,Forklift,Caterpillar,KION EFG,2020,6,Diesel,SITE_028,15337,7000,Rented
EQ_00079,Excavator,JCB,JCB JS220,2020,6,Diesel,SITE_021,12964,18000,Rented
EQ_00080,Crane,Volvo,Liebherr LTM 1050,2021,5,Diesel,SITE_028,4012,30000,Rented
EQ_00081,Generator,Komatsu,Kirloskar KG500,2019,7,Diesel,SITE_025,13972,9000,Available
EQ_00082,Forklift,Volvo,KION EFG,2021,5,Diesel,SITE_010,14869,7000,Idle
EQ_00083,Loader,Caterpillar,CAT 950,2024,2,Diesel,SITE_025,2942,14000,Idle
EQ_00084,Excavator,Tata,CAT 320,2020,6,Diesel,SITE_006,8599,18000,Available
EQ_00085,Excavator,Tata,JCB JS220,2019,7,Diesel,SITE_009,17495,18000,Rented
EQ_00086,Bulldozer,JCB,Komatsu D65,2017,9,Diesel,SITE_007,13802,16000,Rented
EQ_00087,Excavator,Liebherr,Komatsu PC210,2019,7,Diesel,SITE_004,3431,18000,Rented
EQ_00088,Dump Truck,Komatsu,Komatsu HD605,2017,9,Diesel,SITE_003,1362,22000,Rented
EQ_00089,Excavator,Liebherr,Komatsu PC210,2017,9,Diesel,SITE_006,12996,18000,Available
EQ_00090,Loader,Caterpillar,Komatsu WA380,2025,1,Diesel,SITE_004,10427,14000,Available
EQ_00091,Dump Truck,Tata,CAT 777,2016,10,Diesel,SITE_012,21162,22000,Idle
EQ_00092,Dump Truck,JCB,CAT 777,2020,6,Diesel,SITE_003,11728,22000,Rented
EQ_00093,Excavator,Tata,Komatsu PC210,2024,2,Diesel,SITE_002,20527,18000,Idle
EQ_00094,Generator,Liebherr,CAT XQ500,2025,1,Diesel,SITE_030,5108,9000,Rented
EQ_00095,Generator,Liebherr,Cummins C500,2017,9,Diesel,SITE_003,10117,9000,Idle
EQ_00096,Generator,Komatsu,Cummins C500,2017,9,Diesel,SITE_003,3501,9000,Available
EQ_00097,Excavator,Komatsu,Komatsu PC210,2019,7,Diesel,SITE_001,12845,18000,Available
EQ_00098,Excavator,JCB,Komatsu PC210,2021,5,Diesel,SITE_004,4552,18000,Idle
EQ_00099,Forklift,Komatsu,Toyota 8FD,2025,1,Electric,SITE_016,11083,7000,Idle
EQ_00100,Crane,Liebherr,Zoomlion QY25,2018,8,Diesel,SITE_025,7899,30000,Rented
EQ_00101,Crane,Liebherr,Zoomlion QY25,2017,9,Diesel,SITE_023,4493,30000,Rented
EQ_00102,Loader,Caterpillar,Volvo L120,2018,8,Diesel,SITE_018,2581,14000,Rented
EQ_00103,Dump Truck,Liebherr,CAT 777,2024,2,Diesel,SITE_003,11509,22000,Rented
EQ_00104,Forklift,JCB,Toyota 8FD,2016,10,Electric,SITE_024,20867,7000,Available
EQ_00105,Bulldozer,Volvo,CAT D6,2019,7,Diesel,SITE_002,4773,16000,Idle
EQ_00106,Forklift,Caterpillar,JCB Telehandler,2017,9,Electric,SITE_019,9207,7000,Rented
EQ_00107,Excavator,Caterpillar,Komatsu PC210,2017,9,Diesel,SITE_013,5329,18000,Rented
EQ_00108,Dump Truck,JCB,CAT 777,2025,1,Diesel,SITE_027,17892,22000,Available
EQ_00109,Dump Truck,JCB,CAT 777,2016,10,Diesel,SITE_010,9420,22000,Available
EQ_00110,Excavator,Komatsu,CAT 320,2019,7,Diesel,SITE_020,21449,18000,Rented
EQ_00111,Excavator,Caterpillar,JCB JS220,2025,1,Diesel,SITE_014,5771,18000,Rented
EQ_00112,Loader,Komatsu,Komatsu WA380,2022,4,Diesel,SITE_016,2235,14000,Rented
EQ_00113,Forklift,Liebherr,JCB Telehandler,2016,10,Electric,SITE_029,13024,7000,Available
EQ_00114,Dump Truck,Caterpillar,Volvo A40,2020,6,Diesel,SITE_022,14510,22000,Idle
EQ_00115,Forklift,Caterpillar,JCB Telehandler,2025,1,Diesel,SITE_013,21800,7000,Rented
EQ_00116,Generator,Tata,Cummins C500,2020,6,Diesel,SITE_014,19235,9000,Idle
EQ_00117,Loader,Volvo,Volvo L120,2021,5,Diesel,SITE_022,19509,14000,Available
EQ_00118,Generator,Caterpillar,CAT XQ500,2021,5,Diesel,SITE_011,14136,9000,Rented
EQ_00119,Excavator,Liebherr,Komatsu PC210,2022,4,Diesel,SITE_006,8236,18000,Rented
EQ_00120,Excavator,Komatsu,Komatsu PC210,2017,9,Diesel,SITE_015,9724,18000,Rented
EQ_00121,Generator,Komatsu,CAT XQ500,2024,2,Diesel,SITE_003,3375,9000,Rented
EQ_00122,Generator,Tata,Kirloskar KG500,2025,1,Diesel,SITE_006,9768,9000,Available
EQ_00123,Bulldozer,Volvo,Komatsu D65,2017,9,Diesel,SITE_013,8335,16000,Rented
EQ_00124,Loader,Liebherr,Komatsu WA380,2024,2,Diesel,SITE_024,1271,14000,Rented
EQ_00125,Dump Truck,Komatsu,Volvo A40,2024,2,Diesel,SITE_024,4896,22000,Rented
EQ_00126,Forklift,JCB,JCB Telehandler,2023,3,Electric,SITE_008,11993,7000,Available
EQ_00127,Dump Truck,Liebherr,CAT 777,2019,7,Diesel,SITE_013,8440,22000,Rented
EQ_00128,Loader,Liebherr,Volvo L120,2020,6,Diesel,SITE_005,21861,14000,Rented
EQ_00129,Crane,Volvo,Zoomlion QY25,2024,2,Diesel,SITE_023,10788,30000,Rented
EQ_00130,Loader,Komatsu,CAT 950,2017,9,Diesel,SITE_008,21112,14000,Rented
EQ_00131,Dump Truck,Liebherr,CAT 777,2024,2,Diesel,SITE_024,14705,22000,Rented
EQ_00132,Forklift,Tata,JCB Telehandler,2025,1,Electric,SITE_026,1368,7000,Maintenance
EQ_00133,Loader,Tata,CAT 950,2022,4,Diesel,SITE_021,4874,14000,Rented
EQ_00134,Bulldozer,Komatsu,Komatsu D65,2019,7,Diesel,SITE_010,15674,16000,Rented
EQ_00135,Bulldozer,Tata,Liebherr PR 726,2021,5,Diesel,SITE_029,12220,16000,Idle
EQ_00136,Generator,JCB,Cummins C500,2016,10,Diesel,SITE_021,6987,9000,Rented
EQ_00137,Generator,Volvo,Cummins C500,2025,1,Diesel,SITE_020,11724,9000,Idle
EQ_00138,Excavator,Tata,CAT 320,2019,7,Diesel,SITE_026,19914,18000,Maintenance
EQ_00139,Excavator,Tata,CAT 320,2016,10,Diesel,SITE_027,8857,18000,Available
EQ_00140,Dump Truck,JCB,Volvo A40,2023,3,Diesel,SITE_003,1469,22000,Rented
EQ_00141,Excavator,Volvo,CAT 320,2022,4,Diesel,SITE_027,7185,18000,Rented
EQ_00142,Generator,Liebherr,Cummins C500,2022,4,Diesel,SITE_023,20621,9000,Idle
EQ_00143,Crane,Volvo,Liebherr LTM 1050,2016,10,Diesel,SITE_007,16878,30000,Rented
EQ_00144,Excavator,Caterpillar,Komatsu PC210,2023,3,Diesel,SITE_010,18505,18000,Available
EQ_00145,Forklift,Komatsu,KION EFG,2022,4,Electric,SITE_023,20099,7000,Rented
EQ_00146,Excavator,Komatsu,JCB JS220,2023,3,Diesel,SITE_007,3026,18000,Available
EQ_00147,Bulldozer,Caterpillar,Liebherr PR 726,2024,2,Diesel,SITE_014,6577,16000,Maintenance
EQ_00148,Excavator,JCB,Komatsu PC210,2018,8,Diesel,SITE_021,1786,18000,Rented
EQ_00149,Excavator,Caterpillar,Komatsu PC210,2018,8,Diesel,SITE_020,601,18000,Rented
EQ_00150,Excavator,Liebherr,CAT 320,2025,1,Diesel,SITE_028,18446,18000,Idle
EQ_00151,Excavator,Liebherr,CAT 320,2021,5,Diesel,SITE_004,20644,18000,Rented
EQ_00152,Excavator,Komatsu,Komatsu PC210,2020,6,Diesel,SITE_009,3848,18000,Rented
EQ_00153,Excavator,Liebherr,JCB JS220,2018,8,Diesel,SITE_030,16026,18000,Maintenance
EQ_00154,Dump Truck,Komatsu,Komatsu HD605,2022,4,Diesel,SITE_018,12000,22000,Idle
EQ_00155,Dump Truck,Caterpillar,Volvo A40,2023,3,Diesel,SITE_008,1988,22000,Idle
EQ_00156,Crane,Caterpillar,Tadano GR-1000,2016,10,Diesel,SITE_009,20188,30000,Available
EQ_00157,Crane,Tata,Liebherr LTM 1050,2021,5,Diesel,SITE_011,19231,30000,Rented
EQ_00158,Loader,Tata,Volvo L120,2025,1,Diesel,SITE_017,12700,14000,Available
EQ_00159,Forklift,Caterpillar,Toyota 8FD,2018,8,Diesel,SITE_009,15719,7000,Idle
EQ_00160,Forklift,Komatsu,KION EFG,2018,8,Diesel,SITE_019,9040,7000,Rented
EQ_00161,Excavator,Caterpillar,JCB JS220,2024,2,Diesel,SITE_014,17546,18000,Rented
EQ_00162,Excavator,Caterpillar,JCB JS220,2016,10,Diesel,SITE_019,10067,18000,Available
EQ_00163,Bulldozer,JCB,Liebherr PR 726,2019,7,Diesel,SITE_005,21767,16000,Rented
EQ_00164,Bulldozer,Caterpillar,CAT D6,2020,6,Diesel,SITE_019,1857,16000,Rented
EQ_00165,Dump Truck,Liebherr,Komatsu HD605,2023,3,Diesel,SITE_028,4201,22000,Available
EQ_00166,Loader,Komatsu,CAT 950,2017,9,Diesel,SITE_005,21328,14000,Available
EQ_00167,Excavator,JCB,JCB JS220,2020,6,Diesel,SITE_010,6708,18000,Idle
EQ_00168,Crane,Tata,Liebherr LTM 1050,2017,9,Diesel,SITE_021,7179,30000,Maintenance
EQ_00169,Loader,Volvo,Volvo L120,2023,3,Diesel,SITE_019,17512,14000,Available
EQ_00170,Excavator,Komatsu,CAT 320,2022,4,Diesel,SITE_021,4571,18000,Rented
EQ_00171,Generator,Liebherr,CAT XQ500,2020,6,Diesel,SITE_017,11541,9000,Idle
EQ_00172,Excavator,Komatsu,CAT 320,2019,7,Diesel,SITE_021,6650,18000,Rented
EQ_00173,Forklift,Tata,Toyota 8FD,2017,9,Diesel,SITE_019,4755,7000,Rented
EQ_00174,Excavator,Liebherr,CAT 320,2025,1,Diesel,SITE_003,21234,18000,Rented
EQ_00175,Generator,Liebherr,Cummins C500,2022,4,Diesel,SITE_023,4797,9000,Rented
EQ_00176,Forklift,Volvo,KION EFG,2019,7,Diesel,SITE_014,2527,7000,Available
EQ_00177,Forklift,Komatsu,JCB Telehandler,2020,6,Diesel,SITE_002,14989,7000,Rented
EQ_00178,Generator,Volvo,Kirloskar KG500,2023,3,Diesel,SITE_013,19147,9000,Available
EQ_00179,Generator,Volvo,Kirloskar KG500,2023,3,Diesel,SITE_014,3241,9000,Available
EQ_00180,Dump Truck,Komatsu,Komatsu HD605,2020,6,Diesel,SITE_003,15718,22000,Rented
EQ_00181,Generator,Caterpillar,CAT XQ500,2019,7,Diesel,SITE_030,12127,9000,Idle
EQ_00182,Excavator,Caterpillar,CAT 320,2022,4,Diesel,SITE_007,18345,18000,Maintenance
EQ_00183,Loader,Tata,Komatsu WA380,2022,4,Diesel,SITE_010,3229,14000,Rented
EQ_00184,Loader,Volvo,Volvo L120,2021,5,Diesel,SITE_014,21481,14000,Rented
EQ_00185,Forklift,JCB,KION EFG,2016,10,Diesel,SITE_025,13810,7000,Rented
EQ_00186,Loader,Volvo,Volvo L120,2020,6,Diesel,SITE_023,18606,14000,Rented
EQ_00187,Crane,Volvo,Tadano GR-1000,2022,4,Diesel,SITE_024,8282,30000,Rented
EQ_00188,Dump Truck,Volvo,Komatsu HD605,2025,1,Diesel,SITE_008,20782,22000,Rented
EQ_00189,Bulldozer,Tata,Liebherr PR 726,2021,5,Diesel,SITE_026,13966,16000,Rented
EQ_00190,Excavator,Caterpillar,JCB JS220,2019,7,Diesel,SITE_025,3229,18000,Idle
EQ_00191,Loader,Tata,Komatsu WA380,2021,5,Diesel,SITE_014,20342,14000,Idle
EQ_00192,Loader,Tata,Komatsu WA380,2017,9,Diesel,SITE_017,17609,14000,Available
EQ_00193,Bulldozer,Tata,CAT D6,2016,10,Diesel,SITE_002,6954,16000,Rented
EQ_00194,Crane,Caterpillar,Zoomlion QY25,2022,4,Diesel,SITE_023,12232,30000,Available
EQ_00195,Crane,Caterpillar,Liebherr LTM 1050,2025,1,Diesel,SITE_029,8843,30000,Rented
EQ_00196,Crane,Volvo,Tadano GR-1000,2024,2,Diesel,SITE_015,12185,30000,Rented
EQ_00197,Crane,Tata,Zoomlion QY25,2021,5,Diesel,SITE_017,21255,30000,Available
EQ_00198,Dump Truck,JCB,Komatsu HD605,2016,10,Diesel,SITE_015,19826,22000,Maintenance
EQ_00199,Bulldozer,Caterpillar,Liebherr PR 726,2025,1,Diesel,SITE_003,5134,16000,Rented
EQ_00200,Forklift,Komatsu,KION EFG,2020,6,Electric,SITE_019,21393,7000,Idle
EQ_00201,Forklift,Komatsu,Toyota 8FD,2018,8,Electric,SITE_022,9915,7000,Available
EQ_00202,Loader,Komatsu,CAT 950,2024,2,Diesel,SITE_028,15654,14000,Available
EQ_00203,Crane,Liebherr,Liebherr LTM 1050,2023,3,Diesel,SITE_028,16930,30000,Rented
EQ_00204,Loader,Volvo,Volvo L120,2023,3,Diesel,SITE_015,10883,14000,Available
EQ_00205,Generator,Komatsu,Kirloskar KG500,2018,8,Diesel,SITE_029,10318,9000,Rented
EQ_00206,Dump Truck,Volvo,Volvo A40,2025,1,Diesel,SITE_016,10312,22000,Idle
EQ_00207,Generator,Komatsu,Cummins C500,2020,6,Diesel,SITE_020,19044,9000,Available
EQ_00208,Loader,JCB,Volvo L120,2021,5,Diesel,SITE_019,8806,14000,Available
EQ_00209,Dump Truck,Volvo,Komatsu HD605,2023,3,Diesel,SITE_030,6518,22000,Rented
EQ_00210,Bulldozer,Komatsu,Liebherr PR 726,2022,4,Diesel,SITE_023,8274,16000,Rented
EQ_00211,Generator,Caterpillar,Cummins C500,2017,9,Diesel,SITE_004,4689,9000,Rented
EQ_00212,Bulldozer,Volvo,CAT D6,2019,7,Diesel,SITE_003,8917,16000,Rented
EQ_00213,Dump Truck,Liebherr,Komatsu HD605,2019,7,Diesel,SITE_013,2952,22000,Maintenance
EQ_00214,Forklift,Caterpillar,JCB Telehandler,2025,1,Electric,SITE_016,2429,7000,Available
EQ_00215,Excavator,Caterpillar,JCB JS220,2023,3,Diesel,SITE_021,16062,18000,Rented
EQ_00216,Dump Truck,Tata,Komatsu HD605,2019,7,Diesel,SITE_015,2164,22000,Rented
EQ_00217,Excavator,Liebherr,Komatsu PC210,2023,3,Diesel,SITE_016,12716,18000,Idle
EQ_00218,Generator,Caterpillar,Cummins C500,2023,3,Diesel,SITE_028,17267,9000,Rented
EQ_00219,Excavator,Caterpillar,JCB JS220,2019,7,Diesel,SITE_011,16076,18000,Rented
EQ_00220,Forklift,Komatsu,KION EFG,2020,6,Electric,SITE_015,10090,7000,Available
EQ_00221,Excavator,Komatsu,JCB JS220,2024,2,Diesel,SITE_017,4663,18000,Available
EQ_00222,Forklift,Volvo,KION EFG,2021,5,Electric,SITE_015,20509,7000,Available
EQ_00223,Generator,Volvo,Cummins C500,2017,9,Diesel,SITE_030,18455,9000,Rented
EQ_00224,Dump Truck,Volvo,Komatsu HD605,2023,3,Diesel,SITE_029,13662,22000,Rented
EQ_00225,Generator,Komatsu,CAT XQ500,2021,5,Diesel,SITE_016,2365,9000,Rented
EQ_00226,Generator,Volvo,CAT XQ500,2021,5,Diesel,SITE_014,1256,9000,Available
EQ_00227,Forklift,Caterpillar,KION EFG,2023,3,Electric,SITE_018,7277,7000,Idle
EQ_00228,Bulldozer,Komatsu,Komatsu D65,2025,1,Diesel,SITE_006,3886,16000,Idle
EQ_00229,Dump Truck,Volvo,Volvo A40,2019,7,Diesel,SITE_013,18997,22000,Available
EQ_00230,Excavator,Caterpillar,CAT 320,2020,6,Diesel,SITE_007,4925,18000,Available
EQ_00231,Dump Truck,Volvo,CAT 777,2017,9,Diesel,SITE_005,6576,22000,Available
EQ_00232,Excavator,JCB,Komatsu PC210,2022,4,Diesel,SITE_003,21478,18000,Idle
EQ_00233,Dump Truck,Volvo,Komatsu HD605,2020,6,Diesel,SITE_018,18092,22000,Available
EQ_00234,Dump Truck,JCB,Volvo A40,2019,7,Diesel,SITE_001,5202,22000,Rented
EQ_00235,Loader,Volvo,Komatsu WA380,2022,4,Diesel,SITE_020,8746,14000,Rented
EQ_00236,Loader,Tata,Komatsu WA380,2020,6,Diesel,SITE_013,11588,14000,Maintenance
EQ_00237,Generator,Tata,Kirloskar KG500,2020,6,Diesel,SITE_011,14781,9000,Rented
EQ_00238,Generator,Liebherr,CAT XQ500,2020,6,Diesel,SITE_024,20627,9000,Rented
EQ_00239,Loader,Tata,Volvo L120,2018,8,Diesel,SITE_017,19229,14000,Idle
EQ_00240,Dump Truck,Tata,CAT 777,2017,9,Diesel,SITE_023,21509,22000,Available
EQ_00241,Forklift,Volvo,KION EFG,2024,2,Electric,SITE_022,1373,7000,Idle
EQ_00242,Excavator,Komatsu,CAT 320,2016,10,Diesel,SITE_001,5581,18000,Available
EQ_00243,Excavator,Komatsu,Komatsu PC210,2019,7,Diesel,SITE_007,12604,18000,Rented
EQ_00244,Excavator,JCB,Komatsu PC210,2022,4,Diesel,SITE_018,1556,18000,Idle
EQ_00245,Dump Truck,Komatsu,Komatsu HD605,2017,9,Diesel,SITE_030,8139,22000,Rented
EQ_00246,Loader,Caterpillar,CAT 950,2022,4,Diesel,SITE_005,3802,14000,Rented
EQ_00247,Generator,Liebherr,CAT XQ500,2023,3,Diesel,SITE_004,20557,9000,Rented
EQ_00248,Dump Truck,Tata,Volvo A40,2022,4,Diesel,SITE_029,1861,22000,Rented
EQ_00249,Crane,Liebherr,Liebherr LTM 1050,2019,7,Diesel,SITE_030,3690,30000,Rented
EQ_00250,Forklift,Caterpillar,JCB Telehandler,2016,10,Diesel,SITE_006,4695,7000,Rented
EQ_00251,Generator,Tata,Kirloskar KG500,2024,2,Diesel,SITE_013,3694,9000,Rented
EQ_00252,Bulldozer,JCB,Komatsu D65,2019,7,Diesel,SITE_019,12724,16000,Rented
EQ_00253,Crane,Caterpillar,Tadano GR-1000,2024,2,Diesel,SITE_006,8333,30000,Rented
EQ_00254,Crane,Caterpillar,Liebherr LTM 1050,2017,9,Diesel,SITE_010,20117,30000,Rented
EQ_00255,Excavator,Liebherr,CAT 320,2017,9,Diesel,SITE_012,6107,18000,Rented
EQ_00256,Excavator,Volvo,JCB JS220,2023,3,Diesel,SITE_020,12050,18000,Available
EQ_00257,Forklift,Liebherr,KION EFG,2025,1,Diesel,SITE_010,14691,7000,Idle
EQ_00258,Loader,Liebherr,Volvo L120,2024,2,Diesel,SITE_013,13958,14000,Rented
EQ_00259,Crane,Komatsu,Tadano GR-1000,2023,3,Diesel,SITE_009,17622,30000,Available
EQ_00260,Generator,Caterpillar,Kirloskar KG500,2018,8,Diesel,SITE_023,4840,9000,Rented
EQ_00261,Dump Truck,Liebherr,Komatsu HD605,2025,1,Diesel,SITE_005,11410,22000,Idle
EQ_00262,Forklift,Caterpillar,Toyota 8FD,2022,4,Electric,SITE_007,17712,7000,Available
EQ_00263,Generator,Komatsu,Cummins C500,2017,9,Diesel,SITE_008,19054,9000,Available
EQ_00264,Loader,Caterpillar,Komatsu WA380,2017,9,Diesel,SITE_028,13782,14000,Available
EQ_00265,Crane,Liebherr,Zoomlion QY25,2024,2,Diesel,SITE_029,14515,30000,Available
EQ_00266,Forklift,Caterpillar,Toyota 8FD,2018,8,Electric,SITE_016,19078,7000,Maintenance
EQ_00267,Generator,Tata,CAT XQ500,2023,3,Diesel,SITE_005,13934,9000,Idle
EQ_00268,Forklift,Komatsu,KION EFG,2017,9,Diesel,SITE_023,20900,7000,Available
EQ_00269,Excavator,Volvo,JCB JS220,2018,8,Diesel,SITE_015,3243,18000,Rented
