rental_id,equipment_id,site_id,operator_id,checkout_date,expected_return_date,actual_return_date,planned_duration_days,rental_status,extension_requested,rental_cost_inr
R_000053,EQ_00023,SITE_023,OP_0321,2025-12-14,2025-12-26,2025-12-26,12,Returned,1,84000
R_000054,EQ_00153,SITE_023,OP_0071,2025-12-25,2026-01-27,2026-01-27,33,Returned,0,594000
R_000055,EQ_00209,SITE_004,OP_0196,2025-06-23,2025-06-29,2025-06-27,6,Returned,0,132000
R_000056,EQ_00149,SITE_006,OP_0342,2024-08-30,2024-10-01,2024-09-28,32,Returned,0,576000
R_000057,EQ_00598,SITE_011,OP_0175,2024-05-25,2024-07-02,,38,Active,0,684000
R_000058,EQ_00175,SITE_027,OP_0062,2026-07-04,2026-07-30,2026-08-04,26,Overdue Returned,0,234000
R_000059,EQ_00553,SITE_001,OP_0165,2025-11-26,2025-12-16,2025-12-16,20,Returned,1,140000
R_000060,EQ_00619,SITE_015,OP_0135,2026-02-05,2026-03-17,2026-03-17,40,Returned,0,1200000
R_000061,EQ_00509,SITE_024,OP_0344,2026-02-25,2026-03-05,2026-03-05,8,Returned,1,176000
R_000062,EQ_00382,SITE_013,OP_0093,2025-03-10,2025-04-18,2025-04-18,39,Returned,0,273000
R_000063,EQ_00483,SITE_025,OP_0097,2024-11-19,2024-12-04,2024-12-04,15,Returned,1,105000
R_000064,EQ_00120,SITE_001,OP_0297,2025-10-04,2025-10-10,2025-10-10,6,Returned,0,108000
R_000065,EQ_00402,SITE_029,OP_0325,2024-09-22,2024-10-19,,27,Active,0,810000
R_000066,EQ_00768,SITE_016,OP_0286,2026-06-01,2026-07-03,2026-07-03,32,Returned,0,576000
R_000067,EQ_00399,SITE_025,OP_0195,2026-01-23,2026-01-27,,4,Active,1,72000
R_000068,EQ_00606,SITE_004,OP_0283,2025-10-28,2025-12-07,2025-12-05,40,Returned,0,720000
R_000069,EQ_00407,SITE_013,OP_0329,2026-03-24,2026-05-04,2026-05-01,41,Returned,0,287000
R_000070,EQ_00232,SITE_030,OP_0125,2024-05-01,2024-05-30,2024-06-01,29,Overdue Returned,0,522000
R_000071,EQ_00747,SITE_005,OP_0317,2026-05-14,2026-06-28,,45,Active,0,315000
R_000072,EQ_00174,SITE_006,OP_0030,2024-09-03,2024-09-08,2024-09-08,5,Returned,0,90000
R_000073,EQ_00415,SITE_025,OP_0144,2025-01-17,2025-01-28,2025-01-28,11,Returned,0,198000
R_000074,EQ_00356,SITE_009,OP_0241,2026-02-18,2026-03-13,2026-03-23,23,Overdue Returned,0,690000
R_000075,EQ_00255,SITE_011,OP_0255,2024-01-12,2024-01-23,2024-01-23,11,Returned,0,198000
R_000076,EQ_00101,SITE_024,OP_0329,2024-01-14,2024-02-12,2024-02-13,29,Overdue Returned,0,870000
R_000077,EQ_00187,SITE_008,OP_0275,2026-02-17,2026-03-04,2026-03-09,15,Overdue Returned,0,450000
R_000078,EQ_00003,SITE_025,OP_0276,2024-01-20,2024-02-28,2024-02-29,39,Overdue Returned,1,702000
R_000079,EQ_00725,SITE_017,OP_0015,2025-08-10,2025-09-11,2025-09-11,32,Returned,0,576000
R_000080,EQ_00048,SITE_010,OP_0021,2024-01-17,2024-02-20,,34,Overdue,0,306000
R_000081,EQ_00754,SITE_004,OP_0227,2026-06-11,2026-06-27,2026-06-28,16,Overdue Returned,0,480000
R_000082,EQ_00055,SITE_021,OP_0025,2024-09-02,2024-09-05,2024-09-05,3,Returned,1,54000
R_000083,EQ_00467,SITE_025,OP_0314,2024-05-01,2024-05-04,2024-05-04,3,Returned,1,54000
R_000084,EQ_00100,SITE_017,OP_0256,2024-11-22,2025-01-04,2025-01-06,43,Overdue Returned,0,1290000
R_000085,EQ_00583,SITE_016,OP_0156,2026-03-01,2026-03-27,2026-03-27,26,Returned,1,468000
R_000086,EQ_00147,SITE_018,OP_0019,2025-04-12,2025-05-23,2025-05-28,41,Overdue Returned,0,656000
R_000087,EQ_00413,SITE_010,OP_0245,2025-04-06,2025-05-05,2025-05-05,29,Returned,1,870000
R_000088,EQ_00594,SITE_028,OP_0231,2026-04-27,2026-06-11,2026-06-10,45,Returned,1,315000
R_000089,EQ_00309,SITE_015,OP_0274,2025-07-13,2025-08-03,2025-08-03,21,Returned,0,378000
R_000090,EQ_00118,SITE_027,OP_0042,2025-01-20,2025-02-14,2025-02-14,25,Returned,1,225000
R_000091,EQ_00169,SITE_006,OP_0150,2025-11-18,2025-12-22,,34,Active,0,476000
R_000092,EQ_00157,SITE_029,OP_0183,2026-01-07,2026-01-23,2026-01-23,16,Returned,0,480000
R_000093,EQ_00085,SITE_026,OP_0179,2026-05-19,2026-06-12,2026-06-12,24,Returned,1,432000
R_000094,EQ_00243,SITE_005,OP_0204,2025-05-26,2025-06-06,2025-06-06,11,Returned,0,198000
R_000095,EQ_00199,SITE_020,OP_0018,2024-12-07,2025-01-02,2025-01-02,26,Returned,0,416000
R_000096,EQ_00352,SITE_011,OP_0055,2026-03-16,2026-04-21,,36,Active,0,504000
R_000097,EQ_00408,SITE_001,OP_0209,2024-09-16,2024-10-22,2024-10-24,36,Overdue Returned,0,252000
R_000098,EQ_00375,SITE_015,OP_0132,2024-12-18,2025-01-27,2025-01-27,40,Returned,0,360000
R_000099,EQ_00518,SITE_002,OP_0250,2025-12-06,2025-12-18,2025-12-19,12,Overdue Returned,1,108000
R_000100,EQ_00121,SITE_029,OP_0188,2026-06-10,2026-06-13,2026-06-13,3,Returned,1,27000
R_000101,EQ_00231,SITE_010,OP_0226,2024-06-20,2024-07-15,2024-07-15,25,Returned,1,550000
R_000102,EQ_00491,SITE_008,OP_0133,2025-05-31,2025-06-11,2025-06-11,11,Returned,0,242000
R_000103,EQ_00230,SITE_001,OP_0337,2024-10-19,2024-11-25,,37,Active,1,666000
R_000104,EQ_00722,SITE_023,OP_0202,2024-01-06,2024-02-02,,27,Active,0,243000
R_000105,EQ_00248,SITE_009,OP_0122,2024-10-13,2024-11-04,2024-11-06,22,Overdue Returned,0,484000
R_000106,EQ_00033,SITE_021,OP_0320,2025-06-17,2025-06-24,2025-06-24,7,Returned,0,126000
R_000107,EQ_00396,SITE_015,OP_0100,2025-06-10,2025-07-14,,34,Overdue,0,612000
R_000108,EQ_00017,SITE_019,OP_0229,2026-05-04,2026-06-04,2026-06-04,31,Returned,0,217000
R_000109,EQ_00545,SITE_005,OP_0236,2025-07-08,2025-07-24,,16,Active,0,480000
R_000110,EQ_00036,SITE_020,OP_0146,2024-12-06,2024-12-23,,17,Active,1,374000
R_000111,EQ_00693,SITE_005,OP_0208,2024-06-06,2024-06-24,,18,Active,0,126000
R_000112,EQ_00527,SITE_003,OP_0317,2026-05-26,2026-06-09,2026-06-07,14,Returned,1,252000
R_000113,EQ_00750,SITE_015,OP_0040,2025-09-13,2025-10-01,2025-10-02,18,Overdue Returned,0,288000
R_000114,EQ_00430,SITE_013,OP_0340,2025-03-01,2025-03-23,2025-03-24,22,Overdue Returned,0,308000
R_000115,EQ_00570,SITE_008,OP_0140,2026-04-01,2026-04-30,2026-04-29,29,Returned,0,638000
R_000116,EQ_00225,SITE_023,OP_0101,2025-12-28,2026-01-22,2026-01-23,25,Overdue Returned,1,225000
R_000117,EQ_00170,SITE_030,OP_0262,2024-04-11,2024-04-14,2024-04-14,3,Returned,0,54000
R_000118,EQ_00218,SITE_001,OP_0173,2024-07-27,2024-09-04,2024-09-01,39,Returned,0,351000
R_000119,EQ_00539,SITE_014,OP_0271,2025-08-10,2025-09-15,2025-09-15,36,Returned,1,792000
R_000120,EQ_00369,SITE_024,OP_0145,2026-03-28,2026-04-08,2026-04-08,11,Returned,1,242000
R_000121,EQ_00602,SITE_018,OP_0273,2025-05-04,2025-06-12,2025-06-11,39,Returned,1,546000
R_000122,EQ_00702,SITE_007,OP_0106,2025-09-05,2025-09-26,2025-09-27,21,Overdue Returned,0,462000
R_000123,EQ_00785,SITE_008,OP_0257,2024-03-21,2024-04-16,2024-04-17,26,Overdue Returned,0,182000
R_000124,EQ_00332,SITE_013,OP_0257,2024-01-29,2024-02-24,2024-02-24,26,Returned,0,182000
R_000125,EQ_00672,SITE_008,OP_0348,2025-06-07,2025-07-09,2025-07-09,32,Returned,0,448000
R_000126,EQ_00617,SITE_026,OP_0169,2025-04-21,2025-05-15,2025-05-15,24,Returned,0,384000
R_000127,EQ_00336,SITE_026,OP_0246,2024-05-14,2024-05-21,2024-05-18,7,Returned,0,126000
R_000128,EQ_00293,SITE_013,OP_0347,2025-10-11,2025-11-04,2025-11-04,24,Returned,1,432000
R_000129,EQ_00565,SITE_030,OP_0073,2024-08-27,2024-09-04,2024-09-02,8,Returned,0,176000
R_000130,EQ_00581,SITE_015,OP_0240,2024-08-11,2024-08-14,2024-08-14,3,Returned,1,48000
R_000131,EQ_00124,SITE_023,OP_0302,2026-01-01,2026-01-26,2026-01-26,25,Returned,0,350000
R_000132,EQ_00580,SITE_020,OP_0347,2026-08-05,2026-08-18,2026-08-19,13,Overdue Returned,0,208000
R_000133,EQ_00080,SITE_005,OP_0198,2025-09-19,2025-11-03,2025-11-03,45,Returned,0,1350000
R_000134,EQ_00605,SITE_028,OP_0202,2025-04-21,2025-05-07,,16,Active,0,288000
R_000135,EQ_00564,SITE_011,OP_0153,2026-03-17,2026-04-25,,39,Active,0,546000
R_000136,EQ_00153,SITE_026,OP_0172,2025-07-14,2025-07-20,2025-07-21,6,Overdue Returned,1,108000
R_000137,EQ_00757,SITE_026,OP_0261,2026-07-21,2026-08-22,2026-08-22,32,Returned,0,960000
R_000138,EQ_00538,SITE_013,OP_0320,2024-03-09,2024-04-08,,30,Active,0,480000
R_000139,EQ_00698,SITE_015,OP_0340,2025-11-24,2025-11-28,2025-12-03,4,Overdue Returned,0,56000
R_000140,EQ_00163,SITE_027,OP_0153,2024-07-23,2024-08-02,2024-08-02,10,Returned,0,160000
R_000141,EQ_00364,SITE_019,OP_0119,2026-05-26,2026-06-25,2026-06-25,30,Returned,0,900000
R_000142,EQ_00790,SITE_023,OP_0113,2026-06-09,2026-07-18,2026-07-17,39,Returned,0,624000
R_000143,EQ_00085,SITE_030,OP_0054,2026-03-31,2026-04-21,2026-04-21,21,Returned,0,378000
R_000144,EQ_00243,SITE_025,OP_0114,2025-06-08,2025-06-23,2025-06-23,15,Returned,1,270000
R_000145,EQ_00446,SITE_014,OP_0226,2025-05-01,2025-05-16,,15,Active,1,330000
R_000146,EQ_00173,SITE_028,OP_0315,2025-04-26,2025-05-03,2025-05-04,7,Overdue Returned,0,49000
R_000147,EQ_00696,SITE_010,OP_0167,2024-07-04,2024-07-14,2024-07-14,10,Returned,1,70000
R_000148,EQ_00213,SITE_019,OP_0115,2025-05-21,2025-06-04,2025-06-02,14,Returned,0,308000
R_000149,EQ_00683,SITE_011,OP_0024,2025-10-17,2025-10-27,2025-10-27,10,Returned,0,70000
R_000150,EQ_00141,SITE_004,OP_0001,2024-01-16,2024-02-08,2024-02-08,23,Returned,0,414000
R_000151,EQ_00458,SITE_030,OP_0243,2026-05-22,2026-06-02,2026-06-02,11,Returned,0,242000
R_000152,EQ_00173,SITE_007,OP_0296,2025-06-06,2025-07-13,2025-07-12,37,Returned,1,259000
R_000153,EQ_00531,SITE_013,OP_0278,2026-04-06,2026-04-26,2026-04-26,20,Returned,1,280000
R_000154,EQ_00706,SITE_014,OP_0055,2024-10-01,2024-11-02,,32,Active,1,576000
R_000155,EQ_00131,SITE_003,OP_0154,2025-07-04,2025-07-11,,7,Active,0,154000
R_000156,EQ_00327,SITE_012,OP_0307,2025-10-20,2025-11-03,2025-11-03,14,Returned,0,98000
R_000157,EQ_00795,SITE_002,OP_0300,2024-09-24,2024-09-28,2024-09-27,4,Returned,0,28000
R_000158,EQ_00529,SITE_013,OP_0047,2025-10-29,2025-11-04,,6,Overdue,0,132000
R_000159,EQ_00752,SITE_002,OP_0120,2025-12-23,2026-01-09,,17,Active,1,306000
R_000160,EQ_00590,SITE_001,OP_0100,2024-09-23,2024-10-15,,22,Active,1,308000
R_000161,EQ_00005,SITE_015,OP_0256,2024-08-20,2024-09-10,,21,Active,1,378000
R_000162,EQ_00582,SITE_012,OP_0235,2025-02-02,2025-02-22,2025-02-22,20,Returned,1,600000
R_000163,EQ_00711,SITE_024,OP_0168,2026-07-17,2026-08-31,2026-08-31,45,Returned,0,990000
R_000164,EQ_00356,SITE_008,OP_0047,2026-03-11,2026-03-26,2026-03-26,15,Returned,1,450000
R_000165,EQ_00352,SITE_006,OP_0026,2024-11-25,2024-12-18,2024-12-18,23,Returned,1,322000
R_000166,EQ_00635,SITE_014,OP_0316,2025-02-21,2025-03-20,2025-03-20,27,Returned,0,594000
R_000167,EQ_00337,SITE_018,OP_0021,2025-04-26,2025-05-13,2025-05-13,17,Returned,0,119000
R_000168,EQ_00119,SITE_023,OP_0094,2026-07-07,2026-08-05,2026-08-05,29,Returned,0,522000
R_000169,EQ_00569,SITE_025,OP_0088,2024-09-03,2024-09-08,2024-09-08,5,Returned,0,45000
R_000170,EQ_00485,SITE_013,OP_0321,2024-04-27,2024-05-14,2024-05-16,17,Overdue Returned,0,119000
R_000171,EQ_00305,SITE_023,OP_0265,2025-10-09,2025-10-20,2025-10-20,11,Returned,1,242000
R_000172,EQ_00040,SITE_018,OP_0074,2024-01-17,2024-01-29,2024-01-29,12,Returned,1,108000
R_000173,EQ_00442,SITE_003,OP_0079,2024-02-04,2024-02-29,2024-03-02,25,Overdue Returned,1,400000
R_000174,EQ_00355,SITE_028,OP_0039,2026-05-24,2026-06-04,2026-06-04,11,Returned,0,176000
R_000175,EQ_00156,SITE_015,OP_0286,2026-05-27,2026-06-08,2026-06-18,12,Overdue Returned,0,360000
R_000176,EQ_00436,SITE_013,OP_0023,2026-05-20,2026-07-02,2026-07-02,43,Returned,0,688000
R_000177,EQ_00385,SITE_028,OP_0291,2025-04-26,2025-05-05,2025-05-05,9,Returned,0,126000
R_000178,EQ_00351,SITE_003,OP_0200,2025-12-01,2025-12-13,2025-12-13,12,Returned,0,168000
R_000179,EQ_00208,SITE_012,OP_0227,2024-01-05,2024-01-08,2024-01-06,3,Returned,1,42000
R_000180,EQ_00358,SITE_015,OP_0151,2025-03-20,2025-03-26,2025-03-26,6,Returned,1,132000
R_000181,EQ_00442,SITE_010,OP_0229,2026-08-05,2026-09-16,2026-09-21,42,Overdue Returned,1,672000
R_000182,EQ_00734,SITE_029,OP_0304,2024-06-03,2024-06-19,2024-06-18,16,Returned,0,112000
R_000183,EQ_00110,SITE_021,OP_0159,2025-04-11,2025-05-19,2025-05-24,38,Overdue Returned,0,684000
R_000184,EQ_00014,SITE_016,OP_0111,2024-08-09,2024-08-19,2024-08-19,10,Returned,0,300000
R_000185,EQ_00544,SITE_026,OP_0196,2025-12-21,2026-01-17,2026-01-15,27,Returned,0,486000
R_000186,EQ_00350,SITE_010,OP_0162,2025-03-25,2025-05-02,2025-05-02,38,Returned,1,532000
R_000187,EQ_00584,SITE_018,OP_0161,2025-02-18,2025-03-10,2025-03-10,20,Returned,0,140000
R_000188,EQ_00464,SITE_026,OP_0178,2025-01-03,2025-02-15,2025-02-12,43,Returned,0,1290000
R_000189,EQ_00178,SITE_008,OP_0253,2025-04-20,2025-06-04,2025-06-04,45,Returned,1,405000
R_000190,EQ_00433,SITE_014,OP_0097,2025-03-25,2025-04-25,2025-04-25,31,Returned,0,558000
R_000191,EQ_00237,SITE_013,OP_0294,2024-06-18,2024-08-01,,44,Overdue,0,396000
R_000192,EQ_00332,SITE_006,OP_0208,2024-04-04,2024-04-19,2024-04-19,15,Returned,1,105000
R_000193,EQ_00141,SITE_010,OP_0237,2026-02-24,2026-04-06,2026-04-05,41,Returned,0,738000
R_000194,EQ_00059,SITE_025,OP_0055,2024-01-15,2024-02-24,2024-02-24,40,Returned,0,280000
R_000195,EQ_00553,SITE_013,OP_0096,2025-01-10,2025-01-13,2025-01-13,3,Returned,0,21000
R_000196,EQ_00242,SITE_013,OP_0048,2025-12-11,2026-01-16,2026-01-16,36,Returned,0,648000
R_000197,EQ_00060,SITE_025,OP_0112,2024-04-29,2024-06-08,,40,Active,0,360000
R_000198,EQ_00070,SITE_021,OP_0221,2025-08-05,2025-08-09,2025-08-09,4,Returned,0,64000
R_000199,EQ_00100,SITE_027,OP_0100,2024-09-14,2024-10-27,2024-10-26,43,Returned,0,1290000
R_000200,EQ_00621,SITE_018,OP_0103,2025-01-13,2025-01-26,2025-01-26,13,Returned,0,234000
R_000201,EQ_00280,SITE_014,OP_0186,2024-08-20,2024-09-14,2024-09-14,25,Returned,0,350000
R_000202,EQ_00557,SITE_009,OP_0195,2026-01-23,2026-02-04,2026-02-04,12,Returned,0,84000
R_000203,EQ_00712,SITE_011,OP_0210,2024-05-22,2024-07-03,2024-07-03,42,Returned,0,924000
R_000204,EQ_00478,SITE_022,OP_0301,2024-05-01,2024-06-09,2024-06-09,39,Returned,0,858000
R_000205,EQ_00675,SITE_012,OP_0225,2026-08-07,2026-08-23,2026-08-23,16,Returned,1,288000
R_000206,EQ_00181,SITE_016,OP_0095,2025-10-07,2025-11-08,2025-11-08,32,Returned,0,288000
R_000207,EQ_00790,SITE_016,OP_0218,2026-04-24,2026-05-27,2026-05-27,33,Returned,0,528000
R_000208,EQ_00634,SITE_027,OP_0063,2026-04-19,2026-05-29,2026-05-29,40,Returned,0,560000
R_000209,EQ_00273,SITE_027,OP_0180,2024-04-25,2024-05-08,2024-05-07,13,Returned,0,286000
R_000210,EQ_00546,SITE_007,OP_0163,2024-02-07,2024-02-26,,19,Active,0,171000
R_000211,EQ_00052,SITE_025,OP_0131,2025-12-12,2025-12-20,,8,Active,0,112000
R_000212,EQ_00535,SITE_030,OP_0137,2025-09-17,2025-09-26,2025-09-28,9,Overdue Returned,0,63000
R_000213,EQ_00529,SITE_015,OP_0067,2024-11-20,2024-12-29,2024-12-29,39,Returned,0,858000
R_000214,EQ_00173,SITE_011,OP_0101,2025-05-17,2025-06-21,2025-06-22,35,Overdue Returned,0,245000
R_000215,EQ_00216,SITE_008,OP_0170,2025-08-22,2025-09-21,2025-09-21,30,Returned,0,660000
R_000216,EQ_00123,SITE_030,OP_0222,2025-05-16,2025-05-27,,11,Active,0,176000
R_000217,EQ_00197,SITE_018,OP_0221,2026-07-23,2026-09-04,,43,Active,0,1290000
R_000218,EQ_00426,SITE_015,OP_0275,2026-01-30,2026-03-02,2026-03-02,31,Returned,0,434000
R_000219,EQ_00228,SITE_023,OP_0217,2024-08-14,2024-09-23,2024-09-23,40,Returned,0,640000
R_000220,EQ_00785,SITE_013,OP_0301,2025-05-09,2025-05-22,2025-05-22,13,Returned,1,91000
R_000221,EQ_00179,SITE_005,OP_0246,2024-05-31,2024-06-05,2024-06-05,5,Returned,0,45000
R_000222,EQ_00390,SITE_011,OP_0004,2024-01-12,2024-01-30,2024-01-27,18,Returned,0,324000
R_000223,EQ_00495,SITE_019,OP_0201,2025-08-18,2025-09-24,2025-09-26,37,Overdue Returned,0,592000
R_000224,EQ_00057,SITE_028,OP_0204,2025-01-24,2025-02-13,2025-02-13,20,Returned,0,280000
R_000225,EQ_00615,SITE_025,OP_0106,2026-05-18,2026-05-25,2026-05-25,7,Returned,0,126000
R_000226,EQ_00729,SITE_024,OP_0057,2024-08-20,2024-09-05,2024-09-05,16,Returned,1,288000
R_000227,EQ_00444,SITE_006,OP_0071,2026-05-23,2026-06-05,2026-06-06,13,Overdue Returned,0,286000
R_000228,EQ_00083,SITE_009,OP_0247,2025-04-10,2025-04-28,2025-04-28,18,Returned,0,252000
R_000229,EQ_00734,SITE_006,OP_0336,2025-03-23,2025-05-07,2025-05-07,45,Returned,1,315000
R_000230,EQ_00283,SITE_016,OP_0233,2024-09-05,2024-10-10,2024-10-08,35,Returned,0,315000
R_000231,EQ_00523,SITE_014,OP_0229,2026-01-05,2026-02-06,2026-02-06,32,Returned,0,576000
R_000232,EQ_00521,SITE_007,OP_0083,2025-08-04,2025-08-29,2025-08-29,25,Returned,1,225000
R_000233,EQ_00604,SITE_006,OP_0023,2024-10-03,2024-11-11,2024-11-11,39,Returned,0,273000
R_000234,EQ_00406,SITE_029,OP_0154,2025-07-19,2025-08-30,,42,Overdue,0,1260000
R_000235,EQ_00375,SITE_019,OP_0114,2025-08-26,2025-09-12,2025-09-12,17,Returned,1,153000
R_000236,EQ_00488,SITE_022,OP_0208,2025-05-05,2025-05-09,2025-05-10,4,Overdue Returned,0,72000
R_000237,EQ_00055,SITE_002,OP_0274,2025-05-13,2025-05-29,2025-05-31,16,Overdue Returned,1,288000
R_000238,EQ_00492,SITE_024,OP_0067,2025-06-17,2025-07-28,2025-07-28,41,Returned,0,902000
R_000239,EQ_00175,SITE_005,OP_0062,2024-10-27,2024-11-22,2024-12-02,26,Overdue Returned,0,234000
R_000240,EQ_00319,SITE_018,OP_0081,2026-02-08,2026-03-18,2026-03-28,38,Overdue Returned,0,342000
R_000241,EQ_00646,SITE_007,OP_0313,2025-02-04,2025-02-28,2025-03-01,24,Overdue Returned,1,432000
R_000242,EQ_00447,SITE_017,OP_0097,2024-02-23,2024-03-20,2024-03-20,26,Returned,0,234000
R_000243,EQ_00407,SITE_002,OP_0196,2024-06-09,2024-07-13,2024-07-12,34,Returned,0,238000
R_000244,EQ_00129,SITE_007,OP_0323,2024-09-26,2024-10-21,2024-10-21,25,Returned,0,750000
R_000245,EQ_00310,SITE_009,OP_0085,2025-04-23,2025-05-12,2025-05-12,19,Returned,0,171000
R_000246,EQ_00236,SITE_029,OP_0178,2025-07-21,2025-09-04,2025-09-04,45,Returned,0,630000
R_000247,EQ_00380,SITE_005,OP_0038,2024-11-28,2025-01-09,2025-01-09,42,Returned,1,588000
R_000248,EQ_00574,SITE_014,OP_0146,2024-12-07,2024-12-12,,5,Active,0,150000
R_000249,EQ_00415,SITE_024,OP_0346,2025-01-30,2025-03-06,2025-03-06,35,Returned,0,630000
