usage_id,date,equipment_id,rental_id,site_id,operator_id,engine_hours,idle_hours,fuel_consumed_liters,utilization_percentage,is_anomaly,anomaly_type
U_0000197,2026-06-06,EQ_00557,R_000017,SITE_005,OP_0236,4.47,5.23,32.42,37.28,No,None
U_0000198,2026-06-07,EQ_00557,R_000017,SITE_005,OP_0236,8.2,4.5,55.97,68.33,No,None
U_0000199,2026-06-08,EQ_00557,R_000017,SITE_005,OP_0236,5.29,0.56,32.76,44.08,No,None
U_0000200,2026-06-09,EQ_00557,R_000017,SITE_005,OP_0236,4.02,6.61,31.97,33.54,No,None
U_0000201,2026-06-10,EQ_00557,R_000017,SITE_005,OP_0236,3.78,0.96,22.93,31.5,No,None
U_0000202,2024-11-14,EQ_00385,R_000018,SITE_011,OP_0093,8.53,4.18,180.83,71.09,No,None
U_0000203,2024-11-15,EQ_00385,R_000018,SITE_011,OP_0093,6.46,3.12,93.43,53.86,No,None
U_0000204,2024-11-16,EQ_00385,R_000018,SITE_011,OP_0093,5.33,4.7,98.43,44.39,No,None
U_0000205,2024-11-17,EQ_00385,R_000018,SITE_011,OP_0093,4.92,4.18,82.86,41.02,No,None
U_0000206,2024-11-18,EQ_00385,R_000018,SITE_011,OP_0093,4.6,0.92,81.3,38.33,No,None
U_0000207,2024-11-19,EQ_00385,R_000018,SITE_011,OP_0093,5.14,4.22,78.67,42.83,No,None
U_0000208,2024-11-20,EQ_00385,R_000018,SITE_011,OP_0093,3.33,0.37,50.5,27.79,No,None
U_0000209,2024-11-21,EQ_00385,R_000018,SITE_011,OP_0093,6.42,2.97,111.1,53.5,No,None
U_0000210,2024-11-22,EQ_00385,R_000018,SITE_011,OP_0093,4.83,5.53,85.25,40.22,No,None
U_0000211,2024-11-23,EQ_00385,R_000018,SITE_011,OP_0093,5.05,2.77,78.85,42.08,No,None
U_0000212,2024-11-24,EQ_00385,R_000018,SITE_011,OP_0093,4.96,1.52,68.33,41.35,No,None
U_0000213,2024-11-25,EQ_00385,R_000018,SITE_011,OP_0093,12.81,0.0,219.7,100.0,No,None
U_0000214,2024-11-26,EQ_00385,R_000018,SITE_011,OP_0093,5.0,2.3,89.93,41.67,No,None
U_0000215,2024-11-27,EQ_00385,R_000018,SITE_011,OP_0093,5.9,4.84,87.51,49.15,No,None
U_0000216,2025-06-03,EQ_00145,R_000019,SITE_021,OP_0063,7.59,6.95,45.84,63.24,No,None
U_0000217,2025-06-04,EQ_00145,R_000019,SITE_021,OP_0063,7.25,3.11,43.35,60.43,No,None
U_0000218,2025-06-05,EQ_00145,R_000019,SITE_021,OP_0063,5.37,4.04,42.87,44.75,No,None
U_0000219,2025-06-06,EQ_00145,R_000019,SITE_021,OP_0063,6.2,4.2,41.3,51.67,No,None
U_0000220,2025-06-07,EQ_00145,R_000019,SITE_021,OP_0063,8.33,0.57,55.43,69.44,No,None
U_0000221,2025-06-08,EQ_00145,R_000019,SITE_021,OP_0063,7.34,4.26,45.48,61.16,No,None
U_0000222,2025-06-09,EQ_00145,R_000019,SITE_021,OP_0063,6.67,0.0,35.21,55.61,No,None
U_0000223,2025-06-10,EQ_00145,R_000019,SITE_021,OP_0063,8.72,2.55,52.31,72.64,No,None
U_0000224,2025-06-11,EQ_00145,R_000019,SITE_021,OP_0063,7.19,3.57,49.63,59.91,No,None
U_0000225,2025-06-12,EQ_00145,R_000019,SITE_021,OP_0063,4.02,2.48,35.3,33.46,No,None
U_0000226,2025-06-13,EQ_00145,R_000019,SITE_021,OP_0063,6.03,3.86,33.52,50.28,No,None
U_0000227,2025-06-14,EQ_00145,R_000019,SITE_021,OP_0063,3.97,0.0,34.28,33.09,No,None
U_0000228,2025-06-15,EQ_00145,R_000019,SITE_021,OP_0063,8.84,3.09,59.3,73.71,No,None
U_0000229,2025-06-16,EQ_00145,R_000019,SITE_021,OP_0063,8.83,3.43,53.63,73.59,No,None
U_0000230,2024-10-22,EQ_00359,R_000020,SITE_006,OP_0103,7.82,2.7,245.29,65.19,No,None
U_0000231,2024-10-23,EQ_00359,R_000020,SITE_006,OP_0103,2.9,2.41,76.13,24.19,No,None
U_0000232,2024-10-24,EQ_00359,R_000020,SITE_006,OP_0103,4.04,1.54,124.41,33.69,No,None
U_0000233,2024-10-25,EQ_00359,R_000020,SITE_006,OP_0103,7.33,3.62,253.25,61.09,No,None
U_0000234,2024-10-26,EQ_00359,R_000020,SITE_006,OP_0103,5.6,6.49,152.47,46.68,No,None
U_0000235,2024-10-27,EQ_00359,R_000020,SITE_006,OP_0103,11.0,4.13,293.41,91.63,No,None
U_0000236,2024-10-28,EQ_00359,R_000020,SITE_006,OP_0103,8.77,1.93,227.98,73.09,No,None
U_0000237,2024-10-29,EQ_00359,R_000020,SITE_006,OP_0103,4.84,1.61,151.83,40.31,No,None
U_0000238,2024-10-30,EQ_00359,R_000020,SITE_006,OP_0103,7.02,1.91,187.85,58.48,No,None
U_0000239,2024-10-31,EQ_00359,R_000020,SITE_006,OP_0103,10.44,3.58,299.21,86.96,No,None
U_0000240,2024-11-01,EQ_00359,R_000020,SITE_006,OP_0103,4.55,3.21,145.73,37.93,No,None
U_0000241,2024-11-02,EQ_00359,R_000020,SITE_006,OP_0103,4.85,1.86,124.5,40.44,No,None
U_0000242,2024-11-03,EQ_00359,R_000020,SITE_006,OP_0103,6.02,0.0,180.52,50.15,No,None
